Data,ID_Produto,Produto,Categoria,Quantidade,Preco_Unitario,ID_Cliente
2025-07-01,101,Notebook Gamer,Eletrônicos,2,7500.00,201
2025-07-01,102,Mouse sem Fio,Acessórios,5,150.00,201
2025-07-02,103,Teclado Mecânico,Acessórios,3,350.00,202
2025-07-03,104,Monitor 4K,Eletrônicos,2,2200.00,203
2025-07-03,105,Webcam HD,Acessórios,4,250.00,201
2025-07-04,106,Smartphone Pro,Eletrônicos,3,4500.00,204
2025-07-05,107,Cadeira Gamer,Móveis,1,1800.00,205
2025-07-06,101,Notebook Gamer,Eletrônicos,1,7500.00,206
2025-07-07,108,Antivírus Premium,Software,10,99.90,207
2025-07-08,102,Mouse sem Fio,Acessórios,4,150.00,202
2025-07-09,109,Licença Office 365,Software,5,299.00,208
2025-07-10,103,Teclado Mecânico,acessórios,2,350.00,209
2025-07-11,106,Smartphone Pro,Eletrônicos,2,,210
2025-07-12,104,Monitor 4K,Eletrônicos,1,2200.00,203
2025-07-13,110,SSD 1TB,Componentes,6,450.00,211
2025-07-14,105,Webcam HD,Acessórios,3,250.00,204
2025-07-15,107,Cadeira Gamer,Móveis,2,1800.00,212
2025-07-16,108,Antivírus Premium,Software,8,99.90,213
2025-07-17,101,Notebook Gamer,Eletrônicos,1,7500.00,
2025-07-18,102,Mouse sem Fio,Acessórios,5,150.00,214
2025-07-19,111,Fone de Ouvido Bluetooth,Acessórios,7,400.00,215
2025-07-20,106,Smartphone Pro,Eletrônicos,2,4500.00,201
2025-08-01,110,SSD 1TB,Componentes,3,450.00,205
2025-08-02,109,Licença Office 365,Software,4,299.00,216
2025-08-03,103,Teclado Mecânico,Acessórios,2,350.00,202
2025-08-04,101,Notebook Gamer,Eletrônicos,1,,217
2025-08-05,104,Monitor 4K,Eletrônicos,2,2200.00,218
2025-08-06,102,Mouse sem Fio,Acessórios,6,150.00,219
2025-08-07,111,Fone de Ouvido Bluetooth,Acessórios,4,400.00,220
2025-08-08,107,Cadeira Gamer,Móveis,1,1800.00,208
2025-08-09,105,Webcam HD,acessórios,3,250.00,221
2025-08-10,106,Smartphone Pro,Eletrônicos,2,4500.00,204
2025-08-11,108,Antivírus Premium,Software,12,99.90,222
2025-08-12,110,SSD 1TB,Componentes,4,450.00,201
2025-08-13,103,Teclado Mecânico,Acessórios,3,350.00,210
2025-08-14,101,Notebook Gamer,Eletrônicos,1,7500.00,223
2025-08-15,109,Licença Office 365,Software,3,299.00,
2025-08-16,104,Monitor 4K,Eletrônicos,1,2200.00,224
2025-08-17,102,Mouse sem Fio,Acessórios,5,150.00,212
2025-08-18,107,Cadeira Gamer,Móveis,1,1800.00,225
2025-08-19,105,Webcam HD,Acessórios,2,250.00,203
2025-08-20,111,Fone de Ouvido Bluetooth,Acessórios,5,400.00,226
2025-09-01,106,Smartphone Pro,Eletrônicos,3,4500.00,227
2025-09-02,101,Notebook Gamer,Eletrônicos,1,7500.00,228
2025-09-03,108,Antivírus Premium,Software,15,99.90,229
2025-09-04,102,Mouse sem Fio,Acessórios,8,150.00,230
2025-09-05,103,Teclado Mecânico,Acessórios,4,350.00,231
2025-09-06,110,SSD 1TB,Componentes,5,450.00,201
2025-09-07,109,Licença Office 365,Software,2,299.00,232
2025-09-08,104,Monitor 4K,Eletrônicos,1,2200.00,207
2025-09-09,107,Cadeira Gamer,Móveis,2,1800.00,
2025-09-10,105,Webcam HD,Acessórios,3,250.00,233
2025-09-11,111,Fone de Ouvido Bluetooth,Acessórios,6,400.00,215
2025-09-12,106,Smartphone Pro,Eletrônicos,2,4500.00,234
2025-09-13,101,Notebook Gamer,Eletrônicos,1,,235
2025-09-14,103,Teclado Mecânico,Acessórios,2,350.00,219
2025-09-15,102,Mouse sem Fio,Acessórios,4,150.00,236
